id,nameKa,nameEn,descriptionKa,descriptionEn,categoryId,imageUrl,imageKey,isRose,isAvailable,featured,createdAt,updatedAt,priceMin,priceMax,priceOnRequest,unitType,variants,bloomsPerStemMin,bloomsPerStemMax,stemDisplayRule,published
60001,პიონი,peony,,,210001,/manus-storage/products/img_7342_d834be50.webp,,0,0,0,2026-06-22 20:38:58,2026-07-17 13:47:23,15.00,15.00,0,single stem,[],1,1,1 large peony bloom,1
60002,რანუნკულუსი,Ranunculus,,,210001,/manus-storage/products/img_7343_65036bf5.webp,,0,0,0,2026-06-22 20:42:38,2026-07-17 13:47:32,12.00,15.00,0,single stem,[],1,1,1 ranunculus bloom,1
90001,ლილია,Lily,,,210001,/manus-storage/products/img_7368_beb2dc8c.webp,,0,1,0,2026-06-22 20:54:14,2026-07-15 09:18:37,25.00,25.00,0,single stem,[],2,4,2-4 lily blooms and buds,1
90002,გლადიოლუსი,Gladiolus,,,210001,/manus-storage/products/img_7367_21dd116c.webp,,0,0,0,2026-06-22 20:55:38,2026-07-25 15:51:40,10.00,10.00,0,single stem,[],12,20,12-20 gladiolus blooms,1
90003,მზესუმზირა,Sunflower,,,210001,/manus-storage/products/img_7366_3dfde00c.webp,,0,0,0,2026-06-22 20:56:40,2026-07-26 09:52:19,10.00,10.00,0,single stem,[],1,1,1 sunflower bloom,1
90004,ირისი,Iris,,,210001,/manus-storage/products/img_7365_14eabc52.webp,,0,0,0,2026-06-22 20:57:40,2026-07-17 13:47:41,7.00,7.00,0,single stem,[],1,1,1 iris bloom,1
90005,ერინგიუმი,Blue Thistle,,,210001,/manus-storage/products/img_7364_4c384149.webp,,0,0,0,2026-06-22 20:59:14,2026-07-17 13:47:42,15.00,15.00,0,single stem,[],5,10,5-10 small eryngium blooms,1
90006,გიფსოფილა,Baby’s Breath,,,210001,/manus-storage/products/img_7363_c02e777c.webp,,0,1,0,2026-06-22 21:00:52,2026-07-15 09:23:30,10.00,10.00,0,single stem,[],15,30,15-30 tiny gypsophila blooms,1
90007,დელფინიუმი ,Delphinium,,,210001,/manus-storage/products/img_7362_5a261fa8.webp,,0,0,0,2026-06-22 21:02:01,2026-07-17 13:47:45,17.00,17.00,0,single stem,[],8,15,8-15 delphinium blooms,1
90008,ჰორტენზია,Hydrangea,,,210001,/manus-storage/products/img_7361_694dd6c5.webp,,0,1,0,2026-06-22 21:03:35,2026-07-16 15:56:34,30.00,30.00,0,single stem,[],1,1,1 large hydrangea flower head,1
90009,ორქიდეა,Orchid,,,210001,/manus-storage/products/img_7360_fdece5d6.webp,,0,1,0,2026-06-22 21:05:08,2026-07-16 15:56:58,80.00,80.00,0,single stem,[],3,8,3-8 orchid blooms per stem,1
90010,კალა,Calla Lily,,,210001,/manus-storage/products/img_7359_6acb14af.webp,,0,0,0,2026-06-22 21:06:07,2026-07-25 15:51:05,15.00,15.00,0,single stem,[],1,1,1 calla bloom,1
90011,ალსტრომერია,Alstroemeria,,,210001,/manus-storage/products/img_7357_c9c21a13.webp,,0,1,0,2026-06-22 21:07:19,2026-07-16 15:57:33,4.00,4.00,0,single stem,[],5,10,5-10 small alstroemeria blooms,1
90012,პროტეა,Protea,,,210001,/manus-storage/products/img_7356_d8c86f08.webp,,0,1,0,2026-06-22 21:08:36,2026-07-16 15:57:56,50.00,50.00,0,single stem,[],1,1,1 large protea bloom,1
90013,სტრელიცია,Bird of Paradise,,,210001,/manus-storage/products/img_7354_8dec9ac4.webp,,0,1,0,2026-06-22 21:10:31,2026-07-16 15:58:07,25.00,25.00,0,single stem,[],1,1,1 strelitzia bloom,1
90014,გლორიოზა,Gloriosa Lily,,,210001,/manus-storage/products/img_7353_be69e210.webp,,0,0,0,2026-06-22 21:11:47,2026-07-17 13:48:01,25.00,25.00,0,single stem,[],1,1,,1
90015,ალიუმი,Allium,,,210001,/manus-storage/products/img_7351_82de3c1f.webp,,0,0,0,2026-06-22 21:14:12,2026-07-17 13:48:03,23.00,23.00,0,single stem,[],1,1,,1
90016,ვიბურნუმი,Viburnum,,,210001,/manus-storage/products/img_7350_14368a46.webp,,0,0,0,2026-06-22 21:15:14,2026-07-25 15:50:30,15.00,15.00,0,single stem,[],1,1,,1
90017,მოლუცელა,Moluccella,,,210001,/manus-storage/products/img_7349_5b3e2be1.webp,,0,0,0,2026-06-22 21:16:19,2026-07-25 15:50:33,15.00,15.00,0,single stem,[],1,1,,1
90018,დიანტუსი,Dianthus,,,210001,/manus-storage/products/img_7348_642de59f.webp,,0,1,0,2026-06-22 21:17:26,2026-07-16 15:59:05,8.00,8.00,0,single stem,[],1,1,,1
90019,კრასპედია,Craspedia,,,210001,/manus-storage/products/img_7347_8b70b6a5.webp,,0,1,0,2026-06-22 21:18:47,2026-07-16 15:59:16,6.00,6.00,0,single stem,[],1,1,,1
90020,მიხაკი,Dianthus,,,210001,/manus-storage/products/img_7346_6dc1e00a.webp,,0,1,0,2026-06-22 21:20:33,2026-07-16 15:59:27,5.00,5.00,0,single stem,[],1,1,,1
90021,ანთურიუმი,Anthurium,,,210001,/manus-storage/products/img_7345_21d3ef2d.webp,,0,1,0,2026-06-22 21:21:39,2026-07-16 15:59:38,25.00,25.00,0,single stem,[],1,1,,1
90022,გერბერა,Gerbera,,,210001,/manus-storage/products/img_7344_05295024.webp,,0,1,0,2026-06-22 21:22:36,2026-07-16 15:59:51,5.00,5.00,0,single stem,[],1,1,1 gerbera bloom,1
90023,მატიოლა,Matthiola,,,210001,/manus-storage/products/img_7369_9d34392b.webp,,0,0,0,2026-06-22 21:25:15,2026-07-17 13:48:13,9.00,9.00,0,single stem,[],1,1,,1
120001,ვაქსფლაუერი,Waxflower,,,210001,/manus-storage/products/img_7377_36f2b925.webp,,0,0,0,2026-06-23 09:02:21,2026-07-17 13:48:15,8.00,8.00,0,single stem,[],1,1,,1
120002,ქრიზანთემა,Chrysanthemum,,,210001,/manus-storage/products/img_7376_22fe848c.webp,,0,1,0,2026-06-23 09:03:02,2026-07-16 16:00:27,10.00,10.00,0,single stem,[],5,15,5-15 chrysanthemum blooms,1
120003,ლიმონიუმი,Limonium,,,210001,/manus-storage/products/img_7374_1f173ef8.webp,,0,1,0,2026-06-23 09:04:07,2026-07-16 16:00:35,5.00,5.00,0,single stem,[],1,1,,1
120004,აქილეა,Achillea,,,210001,/manus-storage/products/img_7372_da6c8acd.webp,,0,0,0,2026-06-23 09:05:52,2026-07-17 13:48:19,8.00,8.00,0,single stem,[],1,1,,1
150001,ალუბლები🍒,Cherries🍒,7 ტოტი სპრეი ვარდი,7 pieces of spray rose,180001,/manus-storage/products/2a9a4172-cbc2-46ae-b65d-0f311da8f727_af374751.webp,,0,1,0,2026-06-23 11:00:29,2026-07-16 16:00:56,75.00,75.00,0,single stem,[],1,1,,1
180001,ეუსტომა,Eustoma,,,210001,/manus-storage/products/img_7415_e41ae53c.webp,,0,1,0,2026-06-23 20:01:52,2026-07-16 16:01:05,10.00,10.00,0,single stem,[],1,1,,1
210001,ორნითოგალუმი,Ornithogalum,,,210001,/manus-storage/products/img_7416_44f27069.webp,,0,0,0,2026-06-23 20:08:53,2026-07-17 13:48:22,12.00,12.00,0,single stem,[],1,1,,1
240001,ოქსიპეტალუმი,Oxypetalum,,,210001,/manus-storage/products/5c628975-c6d6-465c-9240-eb02c316941e_efb3a44f.webp,,0,0,0,2026-06-23 20:18:35,2026-07-17 13:48:23,10.00,10.00,0,single stem,[],1,1,,1
